37625.000000d0,  4.148504d5,  418.702269d0,  5.187436d0,  444.603136d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
37750.000000d0,  4.091277d5,  417.559527d0,  5.129879d0,  444.697236d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
37875.000000d0,  4.034051d5,  416.416785d0,  5.072006d0,  444.806474d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
38000.000000d0,  3.976824d5,  415.274043d0,  5.013814d0,  444.931371d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
38125.000000d0,  3.919598d5,  414.131301d0,  4.955301d0,  445.072471d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
38250.000000d0,  3.865733d5,  412.991936d0,  4.900686d0,  445.151884d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
38375.000000d0,  3.813241d5,  411.853950d0,  4.847498d0,  445.213745d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
38500.000000d0,  3.760749d5,  410.715964d0,  4.794016d0,  445.290103d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
38625.000000d0,  3.708258d5,  409.577978d0,  4.740236d0,  445.381450d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
38750.000000d0,  3.655766d5,  408.439993d0,  4.686156d0,  445.488301d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
38875.000000d0,  3.603275d5,  407.302007d0,  4.631775d0,  445.611196d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
39000.000000d0,  3.550783d5,  406.164021d0,  4.577088d0,  445.750701d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
39125.000000d0,  3.498520d5,  405.027744d0,  4.522372d0,  445.903100d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
39250.000000d0,  3.450468d5,  403.922868d0,  4.472457d0,  445.992380d0,  0.000000d0,  0.000000d0,  0.000000d0,  0.000000d0
